,date,code,close,tradeStatus
0,2024-10-22,sz.000997,17.3200,1
1,2024-10-23,sz.000997,16.9500,1
2,2024-10-24,sz.000997,16.7700,1
3,2024-10-25,sz.000997,17.0200,1
4,2024-10-28,sz.000997,18.1900,1
5,2024-10-29,sz.000997,17.8100,1
6,2024-10-30,sz.000997,18.4700,1
7,2024-10-31,sz.000997,19.0900,1
8,2024-11-01,sz.000997,18.3100,1
9,2024-11-04,sz.000997,18.7900,1
10,2024-11-05,sz.000997,20.6700,1
11,2024-11-06,sz.000997,21.3100,1
12,2024-11-07,sz.000997,21.4000,1
13,2024-11-08,sz.000997,20.6200,1
14,2024-11-11,sz.000997,20.8200,1
15,2024-11-12,sz.000997,20.6800,1
16,2024-11-13,sz.000997,21.2700,1
17,2024-11-14,sz.000997,21.6200,1
18,2024-11-15,sz.000997,20.5500,1
19,2024-11-18,sz.000997,19.5500,1
20,2024-11-19,sz.000997,20.0800,1
21,2024-11-20,sz.000997,20.6100,1
22,2024-11-21,sz.000997,20.5200,1
23,2024-11-22,sz.000997,20.0500,1
24,2024-11-25,sz.000997,19.7500,1
25,2024-11-26,sz.000997,19.3800,1
26,2024-11-27,sz.000997,19.7300,1
27,2024-11-28,sz.000997,19.6100,1
28,2024-11-29,sz.000997,21.3700,1
29,2024-12-02,sz.000997,21.3700,1
30,2024-12-03,sz.000997,21.1800,1
31,2024-12-04,sz.000997,20.4500,1
32,2024-12-05,sz.000997,20.6100,1
33,2024-12-06,sz.000997,20.6300,1
34,2024-12-09,sz.000997,20.7000,1
35,2024-12-10,sz.000997,21.6200,1
36,2024-12-11,sz.000997,22.0100,1
37,2024-12-12,sz.000997,21.8600,1
38,2024-12-13,sz.000997,21.0000,1
39,2024-12-16,sz.000997,21.1600,1
40,2024-12-17,sz.000997,20.1800,1
41,2024-12-18,sz.000997,20.2000,1
42,2024-12-19,sz.000997,20.5900,1
43,2024-12-20,sz.000997,20.7400,1
44,2024-12-23,sz.000997,20.5600,1
45,2024-12-24,sz.000997,20.5700,1
46,2024-12-25,sz.000997,19.9600,1
47,2024-12-26,sz.000997,20.3200,1
48,2024-12-27,sz.000997,20.0300,1
49,2024-12-30,sz.000997,20.6400,1
50,2024-12-31,sz.000997,19.9500,1
51,2025-01-02,sz.000997,18.9700,1
52,2025-01-03,sz.000997,18.2900,1
53,2025-01-06,sz.000997,17.8700,1
54,2025-01-07,sz.000997,17.9200,1
55,2025-01-08,sz.000997,18.0100,1
56,2025-01-09,sz.000997,18.3100,1
57,2025-01-10,sz.000997,18.8000,1
58,2025-01-13,sz.000997,18.9900,1
59,2025-01-14,sz.000997,19.8500,1
60,2025-01-15,sz.000997,19.6000,1
61,2025-01-16,sz.000997,19.5500,1
62,2025-01-17,sz.000997,19.8300,1
63,2025-01-20,sz.000997,19.8700,1
64,2025-01-21,sz.000997,20.5600,1
65,2025-01-22,sz.000997,20.0300,1
66,2025-01-23,sz.000997,19.7800,1
67,2025-01-24,sz.000997,19.9900,1
68,2025-01-27,sz.000997,19.9000,1
69,2025-02-05,sz.000997,20.1200,1
70,2025-02-06,sz.000997,20.5300,1
71,2025-02-07,sz.000997,20.7800,1
72,2025-02-10,sz.000997,20.8100,1
73,2025-02-11,sz.000997,22.3800,1
74,2025-02-12,sz.000997,24.6200,1
75,2025-02-13,sz.000997,23.2400,1
